"country"	"GEI_Schmitt"	"HDI_Schmitt"	"GDP_Schmitt"	"gini_Schmitt"	"GEI_Giolla"	"HDI_Giolla"	"GDP_Giolla"	"gini_Giolla"	"GEI_Lee"	"HDI_Lee"	"GDP_Lee"	"gini_Lee"	"GEI_ESS"	"HDI_ESS"	"GDP_ESS"	"gini_ESS"	"GEI_Falk"	"HDI_Falk"	"GDP_Falk"	"gini_Falk"	"GEI_Stoet"	"HDI_Stoet"	"GDP_Stoet"	"gini_Stoet"	"GEI_Vishkin"	"HDI_Vishkin"	"GDP_Vishkin"	"gini_Vishkin"	"GEI_Asperholm"	"HDI_Asperholm"	"GDP_Asperholm"	"gini_Asperholm"	"GEI_Bleidorn"	"HDI_Bleidorn"	"GDP_Bleidorn"	"gini_Bleidorn"	"GEI_Buss"	"HDI_Buss"	"GDP_Buss"	"gini_Buss"	"GEI_ElseQuest"	"HDI_ElseQuest"	"GDP_ElseQuest"	"gini_ElseQuest"	"GEI_Homicide"	"HDI_Homicide"	"GDP_Homicide"	"gini_Homicide"	"GEI_Maes"	"HDI_Maes"	"GDP_Maes"	"gini_Maes"	"GEI_Randler"	"HDI_Randler"	"GDP_Randler"	"gini_Randler"	"GEI_Schmitt_new"	"HDI_Schmitt_new"	"GDP_Schmitt_new"	"gini_Schmitt_new"	"GEI_Silverman"	"HDI_Silverman"	"GDP_Silverman"	"gini_Silverman"	"GEI_Stoet_new"	"HDI_Stoet_new"	"GDP_Stoet_new"	"gini_Stoet_new"	"GEI_Breda"	"HDI_Breda"	"GDP_Breda"	"gini_Breda"	"GEI_WVSB5"	"HDI_WVSB5"	"GDP_WVSB5"	"gini_WVSB5"	"GEI_GPIPP"	"HDI_GPIPP"	"GDP_GPIPP"	"gini_GPIPP"
"Ireland"	NA	NA	NA	NA	0.7585	0.897833333333333	48522.8117200487	32.2333333333333	1.14	0.9278	62967.2968211072	31.7	0.832	0.895	45919.6827420934	32.7	NA	NA	NA	NA	0.81	0.925	62053.9844381587	31.8	0.093	0.942	75239.3028933993	30.8	0.89	0.850333333333333	61314	33.36	0.846695652173913	0.895521739130435	52327.3835927242	32.21	0.774	0.737	23181.0178451808	NA	0.683	0.873	46046.6534802097	32.9	NA	NA	NA	NA	0.819259259259259	0.850333333333333	41569.9850701545	33.36	0.825862068965517	0.856206896551724	43524.6651909808	33.1454545454545	NA	NA	NA	NA	0.807	0.881	48281.5083780917	33.6	0.75	0.8789	47352.0080490356	32.6444444444444	0.78	0.903	46422.5257382515	33.2	NA	NA	NA	NA	0.846695652173913	0.895521739130435	52327.3835927242	32.21
"Latvia"	0.834	0.787	8591.26791254397	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.759	0.826	11237.1089285212	36	NA	NA	NA	NA	0.75	0.85	13786.4567953114	34.2	0.176	0.871	16069.8404323203	34.5	NA	NA	NA	NA	0.765434782608696	0.817913043478261	11436.8260419318	35.7470588235294	NA	NA	NA	NA	0.576	0.787	8591.26791254397	NA	0.80375	0.85775	14535.9802606088	35	NA	NA	NA	NA	NA	NA	NA	NA	0.54	0.791	6264	NA	NA	NA	NA	NA	0.74	0.7983	9954.82234284723	36.95	0.76	0.833	12410.3652614992	35.2	NA	NA	NA	NA	0.765434782608696	0.817913043478261	11436.8260419318	35.7470588235294
"Liechtenstein"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.895	NA	NA	NA	0.927875	167809.21268111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8995	NA	NA	NA	0.923	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Luxembourg"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.889	0.905	104574.349887682	31.2	NA	NA	NA	NA	0.74	0.915	105462.012584423	32.9	0.065	0.927	106729.024882424	34.2	-0.03	0.868962962962963	113727	30.0625	0.887826086956522	0.897739130434783	102180.651134082	31.8173913043478	NA	NA	NA	NA	NA	0.873	97597.9969176553	30.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.68	0.8823	101485.481012508	30.9	0.74	0.916	104487.744238704	34.3	NA	NA	NA	NA	0.887826086956522	0.897739130434783	102180.651134082	31.8173913043478
"Netherlands"	0.939	0.894	40785.1222216206	NA	0.7406	0.9145	44659.591548233	28.7333333333333	0.8	0.9344	46095.6494746783	28.32	0.947	0.913	44027.6025577706	27.9	0.84	0.9104	43663.7824720184	28.7555555555556	0.78	0.932	45193.4032187971	28.2	0.043	0.943	48443.7320540283	29.2	0.53	0.896814814814815	49475	28.7055555555556	0.942	0.914826086956522	43694.0754257395	28.4333333333333	0.878	0.847	31106.0519601296	NA	0.794	0.894	40785.1222216206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.755	0.931	24215	NA	0.925	0.897	41450.4042697266	29.8	0.74	0.9013	42559.3343756324	29.2666666666667	0.77	0.927	44242.9735261304	27.6	0.955	0.9262	44415.9979350656	27.98	0.942	0.914826086956522	43694.0754257395	28.4333333333333
"New Zealand"	0.929	0.903	33487.0922497671	NA	0.77525	0.917833333333333	35699.0207930951	NA	0.92	0.9332	39203.7471124251	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.78	0.931	38630.7265886928	NA	0.123	0.937	40757.3681518167	NA	1.37	0.888703703703704	28201	NA	0.844652173913043	0.915217391304348	35706.6564653836	NA	0.762	0.806	26371.0033166896	NA	0.75	0.903	33487.0922497671	NA	NA	NA	NA	NA	0.818518518518519	0.888703703703704	32421.5358721815	NA	0.823655172413793	0.891931034482759	32950.1871709935	NA	0.756	0.913	19104	NA	0.817	0.906	34342.1536966089	NA	0.79	0.9062	34098.6196198989	NA	0.78	0.924	36501.1838580464	NA	NA	NA	NA	NA	0.844652173913043	0.915217391304348	35706.6564653836	NA
"Norway"	NA	NA	NA	NA	0.822116666666667	0.939333333333333	74164.5100074502	26.2833333333333	1.59	0.9562	75325.7686518689	27.48	0.922	0.936	73141.3073422967	26.2	NA	NA	NA	NA	0.85	0.953	74809.9658049898	27.5	0.045	0.961	76712.2871258373	27.7	1.21	0.911111111111111	101564	26.9736842105263	0.938347826086957	0.936565217391304	72766.9286587922	27.3388888888889	0.871	0.838	49937.4557760277	NA	0.837	0.919	69719.312268163	27.6	0.9705	0.95625	75268.0313533584	27.3571428571429	0.915555555555556	0.911111111111111	67277.7121950726	26.9736842105263	0.919965517241379	0.91451724137931	67900.6651166183	27.01	NA	NA	NA	NA	0.931	0.927	72091.0132971416	31.6	0.82	0.9264	72107.5676928831	27.9875	0.84	0.946	73661.6785918009	25.7	NA	NA	NA	NA	0.938347826086957	0.936565217391304	72766.9286587922	27.3388888888889
"Scotland"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Sweden"	NA	NA	NA	NA	0.810416666666667	0.907333333333333	48251.247697502	27.3666666666667	1.31	0.9388	51783.2925672124	29.2	0.951	0.904	46043.4809449994	27.3	0.93	0.9072	47246.9658304184	27	0.82	0.937	51545.4836095322	29.2	0.039	0.947	53490.3518198746	29.3	1.53	0.891481481481482	43085	26.6380952380952	0.954434782608696	0.917434782608696	47305.2436463749	27.8	0.901	0.81	34570.3057339939	NA	0.831	0.915	43194.9261684047	25.3	NA	NA	NA	NA	0.940925925925926	0.891481481481482	42624.2157703783	26.755	NA	NA	NA	NA	NA	NA	NA	NA	0.952	0.9	44891.323206397	26.1	0.81	0.9061	45076.9806984385	26.6777777777778	0.82	0.911	48885.5484179725	27.6	NA	NA	NA	NA	0.954434782608696	0.917434782608696	47305.2436463749	27.8
"Switzerland"	0.946	0.895	73254.952914928	NA	NA	NA	NA	NA	0.94	0.9556	84707.2218537275	32.72	0.941	0.936	79585.5215942023	32.9	0.69	0.9227	79162.5833380083	32.9714285714286	0.79	0.954	83806.4476003837	32.3	0.025	0.962	87123.6604363226	NA	0.14	0.902296296296296	63223	33.0733333333333	0.937521739130435	0.926173913043478	79698.498205143	32.8	NA	NA	NA	NA	0.72	0.895	73254.952914928	NA	0.96675	0.9555	84696.8087163412	32.6833333333333	NA	NA	NA	NA	NA	NA	NA	NA	0.696	0.924	27171	NA	0.917	0.901	74718.6836114474	NA	0.74	0.9064	76848.4975194998	33.3333333333333	0.77	0.945	81964.8864216996	31.6	NA	NA	NA	NA	0.937521739130435	0.926173913043478	79698.498205143	32.8
"United Kingdom"	0.937	0.878	41482.4617064963	34.9	0.7416	0.902833333333333	43113.362483462	34.6166666666667	0.75	0.9268	45728.6761513963	33.16	0.814	0.906	41705.9391234683	35.1	0.76	0.8988	42824.296283862	34.6	0.76	0.924	45071.0743234873	33.3	0.118	0.935	47491.5945630059	32.8	0.57	0.873037037037037	40048	32.9977272727273	0.825782608695652	0.900391304347826	42775.9772725423	34.5347826086957	0.748	0.804	31576.3473320673	33.4	0.675	0.878	41482.4617064963	34.9	NA	NA	NA	NA	0.796037037037037	0.873037037037037	39384.0535007635	33.6282051282051	0.802206896551724	0.876931034482758	39892.2276204486	34.7181818181818	0.671	0.923	22093	37.1	0.794	0.889	42214.3534177336	34.8	0.74	0.8862	42001.1156995349	35.7	0.74	0.909	42821.7612838063	33.1	NA	NA	NA	NA	0.825782608695652	0.900391304347826	42775.9772725423	34.5347826086957
"United States"	0.942	0.895	50036.2342349321	40.8	0.720316666666667	0.908	53374.3965133825	40.75	0.49	0.9224	57509.1254117663	41.28	NA	NA	NA	NA	0.7	0.9057	52877.1011698111	40.75	0.74	0.92	56762.7294515989	41.2	0.204	0.93	60698.0112990179	41.5	0.93	0.897851851851852	48374	38.7886363636364	0.758782608695652	0.908434782608696	53475.7054057492	40.7347826086956	0.712	0.872	39303.4890094262	38.2	0.76	0.895	50036.2342349321	40.8	NA	NA	NA	NA	0.737888888888889	0.897851851851852	48921.4924842853	39.1871794871795	0.742034482758621	0.899758620689655	49610.1816912531	40.0666666666667	0.738	0.934	31872	40.6	0.741	0.898	51485.2074124697	40.3	0.72	0.8993	51476.718057026	40.68	0.74	0.916	54213.4595516389	40.9	NA	NA	NA	NA	0.758782608695652	0.908434782608696	53475.7054057492	40.7347826086956
"Czech Republic"	0.872	0.831	13428.099616179	NA	NA	NA	NA	NA	-0.01	0.8928	18371.3823508786	25.42	0.844	0.865	16160.6205565942	26.2	0.66	0.8566	15824.6996406195	26.5222222222222	0.69	0.891	17829.6983223668	25.9	0.136	0.897	20206.4256384905	25.3	0.36	0.823629629629629	18334	26.0058823529412	0.849347826086956	0.858217391304348	15973.8172565386	26.1333333333333	NA	NA	NA	NA	0.579	0.831	13428.099616179	NA	0.865125	0.89175	18463.1610597494	25.6375	NA	NA	NA	NA	NA	NA	NA	NA	0.546	0.844	13018	NA	0.847	0.836	14070.2804589818	27.5	0.68	0.8401	14637.94601309	26.6	0.68	0.874	16606.9925391504	26.1	NA	NA	NA	NA	0.849347826086956	0.858217391304348	15973.8172565386	26.1333333333333
"France"	0.935	0.851	34183.6633444538	31.4	0.700983333333333	0.874333333333333	35942.1934810206	32.4666666666667	0.64	0.8956	37188.423567919	32.18	0.871	0.872	35129.3622360858	32.7	0.73	0.8703	35612.13609673	31.97	0.76	0.892	36652.9223052178	32.7	0.049	0.905	38832.0242014303	31.2	0.48	0.852481481481482	45413	32.38	0.866826086956522	0.873565217391304	35597.3689727956	32.004347826087	0.765	0.791	28617.4435701151	NA	NA	0.851	34183.6633444538	31.4	0.91	0.896	37086.1760136357	31.9125	NA	NA	NA	NA	0.839965517241379	0.855724137931034	33752.3135516589	32.0916666666667	NA	0.924	22897	32.5	0.841	0.858	34893.5298119974	30.6	0.73	0.8602	34980.55366129	31.65	0.7	0.882	36182.1511275816	33.1	NA	NA	NA	NA	0.866826086956522	0.873565217391304	35597.3689727956	32.004347826087
"Hungary"	NA	NA	NA	NA	NA	NA	NA	NA	-0.44	0.8426	13198.3038944259	30.36	0.767	0.825	11162.0559722742	27	0.61	0.8173	11328.1133942577	29.4111111111111	0.67	0.838	12717.038597002	30.4	0.233	0.853	15083.5991718742	30	NA	0.786074074074074	NA	29.8307692307692	0.741217391304348	0.817086956521739	11542.7489930684	29.8647058823529	NA	NA	NA	NA	0.518	0.798	10255.6101131603	NA	0.7445	0.844375	13401.3255906502	30.375	NA	NA	NA	NA	0.725068965517241	0.790275862068965	10325.7679816342	29.8666666666667	NA	NA	NA	NA	0.743	0.801	10792.7374278506	29.9	0.69	0.803	10710.3897123777	29.2166666666667	0.67	0.831	11466.1419094704	30.8	NA	NA	NA	NA	0.741217391304348	0.817086956521739	11542.7489930684	29.8647058823529
"Italy"	0.928	0.858	32897.3907788976	34.9	NA	NA	NA	NA	0.11	0.8866	30749.1316233959	35.28	0.875	0.878	31615.2708145085	33.8	0.62	0.8747	32775.6247318339	34.22	0.73	0.882	30242.3861352184	35.4	0.069	0.897	32114.2998563994	34.6	-0.11	0.847666666666667	35852	34.3727272727273	0.872913043478261	0.87195652173913	31888.503655869	34.765	0.759	0.778	27490.6320397627	32.6	0.561	0.858	32897.3907788976	34.9	0.93025	0.887625	30686.3788113968	35.1375	0.834185185185185	0.847666666666667	31034.9906822255	34.3727272727273	0.841241379310345	0.850620689655173	31061.4639924541	34.4708333333333	0.536	0.909	22172	NA	0.823	0.865	33150.4762169416	34.3	0.68	0.864	33059.6836273489	34.0625	0.67	0.883	31184.5584255896	35.2	NA	NA	NA	NA	0.872913043478261	0.87195652173913	31888.503655869	34.765
"Lithuania"	0.851	0.8	8275.80344758031	NA	NA	NA	NA	NA	0.26	0.8694	15005.9596048704	37.3	0.834	0.839	10699.7894581629	37.2	0.77	0.83	10856.3248193525	35.0666666666667	0.74	0.862	14263.9645773495	37.4	0.124	0.884	17249.7184431077	35.3	NA	NA	NA	NA	0.824304347826087	0.82995652173913	11496.6371075715	35.8058823529412	NA	NA	NA	NA	0.499	0.8	8275.80344758031	NA	0.8705	0.8705	15347.8932700969	36.6375	NA	NA	NA	NA	NA	NA	NA	NA	0.474	0.803	6656	NA	NA	NA	NA	NA	0.72	0.8086	9347.79362420066	35.7333333333333	0.72	0.851	12678.6926859879	35.1	NA	NA	NA	NA	0.824304347826087	0.82995652173913	11496.6371075715	35.8058823529412
"Malta"	0.858	0.812	17746.8839106899	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.67	0.889	24921.6778983872	29.4	0.175	0.915	28660.0276642308	31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.817375	0.89625	25596.7422823679	29.575	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.866	15189	NA	NA	NA	NA	NA	0.66	0.82	18213.0656077957	29.1	NA	NA	NA	NA	NA	NA	NA	NA	0.752260869565217	0.848173913043478	20764.8934775421	29.3666666666667
"Poland"	0.856	0.811	7864.51826399203	NA	NA	NA	NA	NA	0.09	0.8714	13105.8873182916	31.14	0.826	0.835	10419.2148703063	33.4	0.7	0.8286	9756.94682394824	34.3111111111111	0.72	0.868	12560.051419682	31.8	0.115	0.881	15053.2393552684	28.8	0.52	0.799888888888889	13142	33.6692307692308	0.843565217391304	0.835652173913043	10455.0832666449	32.9	0.707	0.716	5111.3453296443	NA	0.594	0.811	7864.51826399203	NA	NA	NA	NA	NA	0.808592592592593	0.799888888888889	8353.11081188553	33.6692307692308	0.813310344827586	0.805137931034483	8742.83428719818	33.1733333333333	0.518	0.828	8450	NA	0.844	0.809	8261.2274414471	38	0.7	0.8144	8643.17761368892	34.9	0.7	0.852	11466.4159300003	33	NA	NA	NA	NA	0.843565217391304	0.835652173913043	10455.0832666449	32.9
"Portugal"	0.9	0.802	18819.4437376393	38.8	NA	NA	NA	NA	0.08	0.854	19856.6343300127	34.72	0.868	0.825	19343.2800499088	34.9	0.71	0.8189	19362.535496334	37.07	0.73	0.85	19250.1065376852	35.5	0.075	0.867	21617.411624379	32.8	0.75	0.795703703703704	20577	36.6571428571429	0.865347826086956	0.825695652173913	19377.3412681128	36	NA	NA	NA	NA	0.647	0.802	18819.4437376393	38.8	NA	NA	NA	NA	0.825296296296296	0.795703703703704	18047.0899797948	36.6571428571429	NA	NA	NA	NA	0.629	0.874	16064	NA	0.823	0.805	19110.3208431632	38.9	0.71	0.8075	19282.3236989378	37.5142857142857	0.71	0.836	18654.9575281944	36	NA	NA	NA	NA	0.865347826086956	0.825695652173913	19377.3412681128	36
"Slovakia"	0.847	0.784	10177.7214189548	NA	NA	NA	NA	NA	-0.3	0.8538	16729.824076813	25.2	0.808	0.833	13679.0844080915	27.2	NA	NA	NA	NA	0.68	0.851	16390.8821748507	26.5	0.191	0.862	18240.7209260966	23.2	-0.11	0.781555555555555	2396	26.6076923076923	0.805652173913043	0.82	13538.6972352374	26.08125	NA	NA	NA	NA	0.598	0.784	10177.7214189548	NA	0.80975	0.8545	16839.035775209	25.3285714285714	NA	NA	NA	NA	NA	NA	NA	NA	0.546	0.831	10591	NA	NA	NA	NA	NA	0.68	0.7992	11439.4779554014	26.6833333333333	0.68	0.845	15126.0352987762	26.1	NA	NA	NA	NA	0.805652173913043	0.82	13538.6972352374	26.08125
